"STATE","OBAMA","ERROR","COLLEGE"
"Alabama",36.7,3.8,9
"Alaska",38.7,6,3
"Arizona",46.2,3.3,11
"Arkansas",38.6,3.8,6
"California",58.1,2.9,55
"Colorado",50.8,3,9
"Connecticut",56.6,3.3,7
"Delaware",59.6,5.5,3
"District of Columbia",93,3.2,3
"Florida",49.8,2.7,29
"Georgia",45.5,2.7,16
"Hawaii",66.5,3.9,4
"Idaho",32.1,4.5,4
"Illinois",59.8,3,20
"Indiana",45.3,3,11
"Iowa",51.1,3.2,6
"Kansas",37.9,6.1,6
"Kentucky",40.3,4.5,8
"Louisiana",39.3,3.5,8
"Maine",55.9,3.6,4
"Maryland",60.9,3,10
"Massachusetts",59,3.8,11
"Michigan",53,2.7,16
"Minnesota",53.7,2.9,10
"Mississippi",39.4,5.2,6
"Missouri",45.6,2.9,10
"Montana",45.2,3.9,3
"Nebraska",40.4,3.3,5
"Nevada",51.8,3,6
"New Hampshire",51.4,3.5,4
"New Jersey",55.5,3.3,14
"New Mexico",54.1,3.6,5
"New York",62.4,2.9,29
"North Carolina",48.9,2.6,15
"North Dakota",42,3.9,3
"Ohio",51.3,2.7,18
"Oklahoma",33.8,3.8,7
"Oregon",53.6,3.7,7
"Pennsylvania",52.5,2.6,20
"Rhode Island",61.8,4.3,4
"South Carolina",43.2,4.5,9
"South Dakota",42.5,4.2,3
"Tennessee",41.4,3.9,11
"Texas",41.2,3.1,38
"Utah",27.8,4.1,6
"Vermont",66.2,4.8,3
"Virginia",50.7,2.5,13
"Washington",56.2,3.5,12
"West Virginia",41.3,4.8,5
"Wisconsin",52.4,2.9,10
"Wyoming",30.9,6,3
